"Regen_Plot","Fire","Year.of.Fire","survey_years_post","Easting","Northing","SHRUB","dominant_shrub_ht_cm"
"CUB1300350","CUB",2008,5,632537.65,4452608.08,32,45
"CUB1300351","CUB",2008,5,632546.54,4452413.28,21,35
"CUB1300353","CUB",2008,5,632559.46,4452014.11,15,25
"CUB1300354","CUB",2008,5,632559.69,4451810.12,14,40
"CUB1300357","CUB",2008,5,632662.75,4454816.6,47,45
"CUB1300360","CUB",2008,5,632736.68,4452616.99,15,35
"CUB1300371","CUB",2008,5,632940.16,4452427.58,5,35
"CUB1300373","CUB",2008,5,633072.88,4454630.52,22,NA
"DEP0900001","DEEP",2004,5,886158.86,4014622.56,65,30
"DEP0900006","DEEP",2004,5,885583.06,4013811.59,19,170
"DEP0900009","DEEP",2004,5,885387.62,4013600.11,41,175
"DEP0900010","DEEP",2004,5,885000.72,4013382.69,35,175
"DEP0900017","DEEP",2004,5,884802.62,4013181.16,31,120
"DEP0900018","DEEP",2004,5,885000.57,4013190.9,35,125
"DEP0900022","DEEP",2004,5,884606.44,4012979.14,45,110
"DEP0900023","DEEP",2004,5,884806.4,4012987.44,35,200
"DEP0900027","DEEP",2004,5,884614.67,4012772.98,37,150
"DEP0900028","DEEP",2004,5,884612.9,4012779.35,35,320
"DEP0900031","DEEP",2004,5,884617.51,4012580.05,20,195
"DEP0900032","DEEP",2004,5,884817.42,4012588.01,41,190
"DEP0900033","DEEP",2004,5,885014.25,4012591.71,21,200
"DEP0900041","DEEP",2004,5,884843.19,4011786.32,30,160
"DEP0900042","DEEP",2004,5,885047.05,4011788.43,40,290
"ELK2012402","ELK",2007,5,464650,4618312,40,30
"ELK2012403","ELK",2007,5,464853,4618317,20,30
"ELK2012510","ELK",2007,5,466672,4617572,35,100
"ELK2012590","ELK",2007,5,466288,4616957,100,220
"ELK2012619","ELK",2007,5,466489,4616774,4,75
"ELK2012652","ELK",2007,5,467104,4616590,97,145
"ELK2012721","ELK",2007,5,468114,4616215,75,190
"ELK2012750","ELK",2007,5,468320,4616018,60,22
"ELK2012828","ELK",2007,5,467138,4615392,90,140
"ELK2012864","ELK",2007,5,468743,4615235,100,225
"ELK2012891","ELK",2007,5,468752,4615036,30,45
"ELK2012893","ELK",2007,5,469147,4615047,11,60
"FRD0900009","FREDS",2004,5,730551.82,4296891.93,90,60
"FRD0900011","FREDS",2004,5,730357.69,4296683.43,85,120
"FRD0900012","FREDS",2004,5,730558.09,4296690.98,9,102
"FRD0900014","FREDS",2004,5,730958.12,4296705.23,0.5,90
"FRD0900015","FREDS",2004,5,730365.18,4296483.66,60,75
"FRD0900016","FREDS",2004,5,730764.59,4296494.69,40,70
"FRD0900017","FREDS",2004,5,730964.63,4296504.72,25,175
"FRD0900019","FREDS",2004,5,734370.09,4296615.6,60,30
"FRD0900024","FREDS",2004,5,730773.53,4296299.61,12,40
"FRD0900027","FREDS",2004,5,734377.02,4296414.84,55,130
"FRD0900034","FREDS",2004,5,737176.39,4296509.56,41,120
"FRD0900036","FREDS",2004,5,731978.03,4296136.93,3,20
"FRD0900037","FREDS",2004,5,732179.03,4296142.83,1,20
"FRD0900039","FREDS",2004,5,732980.1,4296166.57,40,105
"FRD0900040","FREDS",2004,5,733181.28,4296174.67,45,30
"FRD0900041","FREDS",2004,5,733381.34,4296182.15,21,30
"FRD0900042","FREDS",2004,5,734584.6,4296223.08,61,30
"FRD0900044","FREDS",2004,5,735984.3,4296269,55,30
"FRD0900049","FREDS",2004,5,737184.96,4296308.35,45,30
"FRD0900051","FREDS",2004,5,731985.46,4295939.25,1,NA
"FRD0900052","FREDS",2004,5,732186.98,4295941.48,1,30
"FRD0900053","FREDS",2004,5,732984.46,4295969.89,20,70
"FRD0900054","FREDS",2004,5,733187.33,4295978.83,5,260
"FRD0900055","FREDS",2004,5,733580.74,4295987.74,50,30
"FRD0900058","FREDS",2004,5,734187.28,4296011.43,40,30
"FRD0900059","FREDS",2004,5,734389.46,4296014.56,25,70
"FRD0900064","FREDS",2004,5,735397.46,4296047.99,70,220
"FRD0900066","FREDS",2004,5,735778.47,4296059.46,20,30
"FRD0900067","FREDS",2004,5,736186.65,4296081.25,40,30
"FRD0900070","FREDS",2004,5,737196.67,4296108.36,10,30
"FRD0900072","FREDS",2004,5,731592.91,4295723.61,0,NA
"FRD0900073","FREDS",2004,5,731793.55,4295732.48,1,40
"FRD0900074","FREDS",2004,5,731993.04,4295738.4,7,102
"FRD0900075","FREDS",2004,5,732795.37,4295764.48,76,30
"FRD0900076","FREDS",2004,5,732993.32,4295771.9,70,170
"FRD0900080","FREDS",2004,5,733993.01,4295804.02,30,30
"FRD0900086","FREDS",2004,5,735203.27,4295828.82,27,225
"FRD0900089","FREDS",2004,5,736201.15,4295878.04,15,200
