"","Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","CGA","ExistVeg","dominant_shrub_3","x","y","optional","rel_yrs","plant_yrs","salv_yrs","survey_year","survey.years.post","released","salvaged","planted","managed"
"59","BST1100276","1479","BASSETTS","7/7/2011 0:00:00","CR, TR, KW",2006,"0083 - TR","NAD83 UTM zone 10",705549.89,4390332.6,"264","15","GRANITE",NA,"60","15","1","14","10","20","2","1","0","1","0","0","1","1","T","NA","NA","0","1","4","4","0","HIGHLY DISTURBED; LOGGED BEFORE FIRE","3","20","1","20","80","80","0","60","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705549.89,4390332.6,"TRUE","2007, 2009","","",2011,5,1,0,0,1
"60","BST1100287","1503","BASSETTS","8/10/2011 0:00:00","CR, TR",2006,"0074TR","NAD83 UTM zone 10",707747.26,4390415.9,"202","43","Granite",NA,"10","60","1","27","2","90","0.5","0","0","1","0","0","1","5",NA,"NA","NA","0","0.5","0","0","0",NA,"0.5","90","1","20","0","0","0","60","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707747.26,4390415.9,"TRUE","2008","2007","",2011,5,1,0,1,1
"61","BST1100288","1506","BASSETTS","8/10/2011 0:00:00","CR, TR",2006,"0075TR","NAD83 UTM zone 10",707947.33,4390422.52,"236","33","Granite",NA,"20","0.5","1","77","2","85","0.5","0","0","0","10","0","1","5",NA,"NA","NA","0","1","9","0","9",NA,"0.5","85","0","20","180","0","180","100","36","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707947.33,4390422.52,"TRUE","2007","2007","",2011,5,1,0,1,1
"62","BST1100289","1456","BASSETTS","8/11/2011 0:00:00","CP, MS",2006,"2594-CP","NAD83 UTM zone 10",708146.43,4390428.48,"224","50","GRANITE",NA,"60","10","1","25","4","60","2","0","0","1","5","0","1","5",NA,"NA","NA","0","0.1","1","0","1",NA,"2","80","1","20","20","0","20","80","50.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",708146.43,4390428.48,"TRUE","2007","2007","",2011,5,1,0,1,1
"63","BST1100290","1457","BASSETTS","8/11/2011 0:00:00","CP, MS",2006,"2582 - CP","NAD83 UTM zone 10",708350.87,4390439.04,"160","55","GRANITE",NA,"5","15","1","75","4","55","0","0","0","0","2","0","1","5","P","NA","NA","0","0.2","2","0","2",NA,"0","55","0","20","40","0","40","25","93.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",708350.87,4390439.04,"TRUE","2008","2007","",2011,5,1,0,1,1
"64","BST1100291","1290","BASSETTS","8/11/2011 0:00:00","CP, MS",2006,"2581 CP","NAD83 UTM zone 10",708553.62,4390431.91,"160","19","GRANITE",NA,"1","16","1","76","6","5","65","10","10","0","2","0","1","5",NA,"NA","NA","0","0.3","6","0","6",NA,"70","80","10","20","120","0","120","80","15.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",708553.62,4390431.91,"TRUE","2008","2007","",2011,5,1,0,1,1
"65","BST1100310","1308","BASSETTS","8/11/2011 0:00:00","CP, MS",2006,"2599 CP","NAD83 UTM zone 10",708139.76,4390622.87,"225","45","GRANITE",NA,"10","12","1","73","4","45","5","0","0","0.5","4","0","1","5",NA,"NA","NA","0","0.1","1","0","1",NA,"5","65","0.5","20","20","0","20","50","41","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",708139.76,4390622.87,"TRUE","2007","2007","",2011,5,1,0,1,1
"66","BST1100326","1179","BASSETTS","8/11/2011 0:00:00","CP, MS",2006,"2564 CP","NAD83 UTM zone 10",707129.32,4390797.86,"185","35","Granite",NA,"10","8","1","66","15","60","2","0.5","0","3","2","0","1","5",NA,"NA","NA","0","1","1","0","1",NA,"2","65","3","20","20","0","20","35","7.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707129.32,4390797.86,"TRUE","","2008","2007",2011,5,0,1,1,1
"67","BST1100327","1186","BASSETTS","8/10/2011 0:00:00","CP, MS",2006,"3567 CP","NAD83 UTM zone 10",707335.67,4390802.12,"220","51","Granite",NA,"12","1","1","81","5","60","5","0.5","0","1","0","0","1","5","P","NA","NA","0","0.3","0","0","0","Planting, PIPOs and PILAs","5","65","1","20","0","0","0","40","95","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707335.67,4390802.12,"TRUE","","2008","2007",2011,5,0,1,1,1
"68","BST1100328","1184","BASSETTS","8/10/2011 0:00:00","CP, MS",2006,"2568 CP","NAD83 UTM zone 10",707534.08,4390808.12,"170","52","Granite",NA,"15","5","0.5","60","20","20","15","0.5","0","0.5","2","0","1","4",NA,"NA","NA","0","0.5","13","9","4",NA,"15","35","0.5","20","260","180","80","40","6.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707534.08,4390808.12,"TRUE","","2008","2007",2011,5,0,1,1,1
"69","BST1100329","1182","BASSETTS","8/10/2011 0:00:00","CP, MS",2006,"2569 CP","NAD83 UTM zone 10",707729.78,4390820.19,"165","24","Granite",NA,"10","2","2","82","4","55","2","1","0","12","0","12","1","4","P","NA","NA","0","1","4","4","0","Planting in and around plot","3","65","12","20","80","80","0","110","13.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707729.78,4390820.19,"TRUE","2007","2007","",2011,5,1,0,1,1
"70","BST1100347","1189","BASSETTS","8/10/2011 0:00:00","CP, MS",2006,"2563 CP","NAD83 UTM zone 10",707331.41,4391002.32,"220","20","Granite",NA,"20","10","0.5","60","10","35","1","0.5","0","4","0","0","1","5",NA,"NA","NA","0","0.5","0","0","0",NA,"1","40","4","20","0","0","0","38","96.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707331.41,4391002.32,"TRUE","","2008","2007",2011,5,0,1,1,1
"71","BST1100351","1192","BASSETTS","8/10/2011 0:00:00","CP, MS",2006,"2572 CP","NAD83 UTM zone 10",708124.93,4391028.38,"240","33","Granite",NA,"4","15","2","75","4","5","45","1","0","82","4","80","1","2",NA,"NA","NA","0.1","1.5","8","8","0",NA,"45","60","82","20","160","160","0","35","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",708124.93,4391028.38,"TRUE","2007","2007","",2011,5,1,0,1,1
"72","BST1100361","1485","BASSETTS","8/10/2011 0:00:00","CR, TR",2006,"0018 - TR","NAD83 UTM zone 10",706927.34,4391186.9,"198","32","GRANITE",NA,"15","0","1","74","10","85","5","0.5","0","0","5","0","1","5",NA,"NA","NA","0","0.5","26","0","26",NA,"5","85","0","20","520","0","520","70","56.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",706927.34,4391186.9,"TRUE","2011","2008","2007",2011,5,1,1,1,1
"73","BST1100366","1494","BASSETTS","8/9/2011 0:00:00","CP, MS, KW",2006,"2558 - CP","NAD83 UTM zone 10",707922.33,4391220.84,"196","35","GRANITE",NA,"45","15","2","36","2","60","2","2","0","8","0","8","1","0",NA,"NA","NA","0","0.5","0","0","0",NA,"4","65","8","20","0","0","0","80","28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707922.33,4391220.84,"TRUE","2007","2007","",2011,5,1,0,1,1
"74","BTU1300020","2510","BTU LIGHTENING","8/8/2013 0:00:00","CP, NO",2008,"1143 NO","NAD83 UTM zone 10",628619.98,4408395.79,"218","53","GRANITE",NA,"5","1","1","90","3","79","40","0","6","0","2","0","1","5",NA,"NA","NA","0","2","6","0","6","BAF 10","40","98","6","10","60","0","60","200","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",628619.98,4408395.79,"TRUE","","2010","",2013,5,0,0,1,1
"75","BUT1200091","2015","BUTLER","8/15/2012 0:00:00","JM, EA",2007,"BTMP08150451","NAD83 UTM zone 10",1054275.8,3808021.27,"228","40","GRANITE",NA,"70","5","0.5","25","0","0.5","0.5","0.5","0.5","20","0","20","1","4",NA,"NA","NA","0","0.5","2","1","1","Plot center is 23.2 m @ 40 from original plot at edge of the road.","0.5","5","20","20","40","20","20","32","6.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1054275.8,3808021.27,"TRUE","","2010","",2012,5,0,0,1,1
"76","CHB2012043","2739","CHINABACK","7/2/2012 0:00:00","Glenn Shelton/ Jenell Jackson/ Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",523671,4633367,"314","55",NA,NA,"50","0.5","1","47","2","2","20","2","0","80","10","80",NA,"3",NA,"NA","NA","0.5","0.5","10","8","2","10 m scorch marks, no obvious tree mortality from fire.  Within 1 acre most PSME and PIPO are old growth.","20","20","80","20","200","160","40","NA","1.75","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",523671,4633367,"TRUE","","2010","",2012,5,0,0,1,1
"77","CHB2012044","2738","CHINABACK","7/2/2012 0:00:00","Glenn Shelton/ Jenell Jackson/ Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",523869,4633383,"329","69",NA,NA,"3","1","3","86","7","3","5","50","60","0","15","60",NA,"2",NA,"NA","NA","1","2","3","2","1","Trees show evidence of cutting","50","50","60","20","60","40","20","NA","2.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",523869,4633383,"TRUE","","2010","",2012,5,0,0,1,1
"78","CHB2012078","2783","CHINABACK","7/18/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",525083,4632953,"316","125",NA,NA,"2","75","0.5","23","0","30","3","15","20","0","10","20",NA,"3",NA,"NA","NA","0.5","1","0","0","0","Burned spotty/ some trees destroyed, other OK","15","50","20","20","0","0","0","45","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",525083,4632953,"TRUE","2012","2011","",2012,5,1,0,1,1
"79","CHB2012148","2722","CHINABACK","6/21/2012 0:00:00","Glenn Shelton, Jenell Jackson, Liz B.",2007,NA,"NAD83 UTM zone 10",525899,4632228,"17","65",NA,NA,"10","1","0.5","82.5","6.5","15","80","5","0","0","7","0",NA,"5",NA,"NA","NA","0","1.3","2","0","2","brush cut out around felled trees","80","80","0","20","40","0","40","140","7.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",525899,4632228,"TRUE","2012","2009","",2012,5,1,0,1,1
"80","CHB2012183","2732","CHINABACK","7/17/2012 0:00:00","Glenn Shelton/ Jenell Jackson/ Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",524913,4631794,"55","45",NA,NA,"2","0.5","0.5","86","12","95","5","15","0","0","0.5","0",NA,"5",NA,"NA","NA","0.5","1","2","0","2",NA,"15","95","0.5","20","40","0","40","160","12.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",524913,4631794,"TRUE","2012","2011","",2012,5,1,0,1,1
"81","CHB2012185","2720","CHINABACK","6/26/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",525319,4631817,"37","48",NA,NA,"1","1","0.5","88","10","70","2","65","0","0","0.5","0",NA,"5",NA,"NA","NA","0.5","1","0","0","0","Ultra dense Ceanothus Integerimus slope. Many down (cut) logs w/ some fire damage present","65","70","0","20","0","0","0","130","11.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",525319,4631817,"TRUE","2012","2011","",2012,5,1,0,1,1
"82","CHB2012208","2721","CHINABACK","6/26/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",525716,4631630,"30","51",NA,NA,"5","40","0.5","51","4","7","60","60","0","10","0","10",NA,"4",NA,"NA","NA","2","3","1","1","0","Some live PILA, so not a 5 in plot; but is a 5 further up slope","80","90","10","20","20","20","0","50","5.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",525716,4631630,"TRUE","2012","2011","",2012,5,1,0,1,1
"83","CHB2012210","2759","CHINABACK","6/25/2012 0:00:00","Glenn Shelton/Jenell Jackson",2007,NA,"NAD83 UTM zone 10",526122,4631633,"9","65",NA,NA,"4","30","0.5","56","10","80","10","60","5","0","0.5","5",NA,"4",NA,"NA","NA","1","1","0","0","0","many cut stumps; nothing older than 5 years","60","85","5","20","0","0","0","65","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",526122,4631633,"TRUE","2012","2011","",2012,5,1,0,1,1
"84","CUB1300125","2262","CUB","8/1/2013 0:00:00","CP, RD",2008,"5771 RD","NAD83 UTM zone 10",622329.42,4446878.78,"96","70","GRANITE",NA,"0","15","1","84","0","5","0","0","10","95","0","95","1","0",NA,"NA","NA","0","2.5","10","10","0","CONTROL. BAF 40","0","5","95","40","400","400","0","12","1.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",622329.42,4446878.78,"TRUE","","","2010, 2010",2013,5,0,1,0,1
"85","ELK2012001","2788","ELK","8/13/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",467866,4618186,"299","48",NA,NA,"2","0.5","0.5","91","4","15","15","0","35","5","0","45",NA,"0",NA,"NA","NA","0.66","1.4","3","2","1","Outside of fire;however, signs of burn are present. We cannot determine if the resprouting was b/c of the 5 year fire or b/c of a later fire","15","75","45","20","60","40","20","30","0.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467866,4618186,"TRUE","2007","","",2012,5,1,0,0,1
"86","ELK2012119","2805","ELK","8/9/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",468388,4614021,"255","49",NA,NA,"10","3","0.5","77","10","85","15","0.5","5","0","0","7",NA,"5",NA,"NA","NA","0","0.33","0","0","0","Both shrubs and regen ARME, NODE, QUKE show evidence of browsing.  However, outside of plot older trees survived","15","90","7","20","0","0","0","110","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",468388,4614021,"TRUE","2012","2011","",2012,5,1,0,1,1
"87","ELK2012440","2790","ELK","8/13/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",467454,4618202,"280","48",NA,NA,"20","2","0.5","73","5","15","2","0.5","1","0","0.5","1",NA,"5",NA,"NA","NA","0.33","1.66","0","0","0","lots of PIAT regen","2","60","1","20","0","0","0","NA","0.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467454,4618202,"TRUE","2012","2010","",2012,5,1,0,1,1
"88","ELK2012564","2826","ELK","7/30/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",466892,4617185,"44","39",NA,NA,"5","40","0.5","45","10","45","10","6","0","0","0","0.5",NA,"5",NA,"NA","NA","0.5","0.5","1","0","1","SALIA in shrub stage- all SALIA regen counted as clumps. NE facing slope burn severity decreased, outside of plot 15 m from plot.0","10","55","0.5","20","20","0","20","120","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",466892,4617185,"TRUE","2012","2010","",2012,5,1,0,1,1
"89","ELK2012565","2840","ELK","8/1/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",467084,4617190,"101","33",NA,NA,"2","2","0.5","89","7","85","7","3","0","0","0","50",NA,"4",NA,"NA","NA","1.33","1.8","0","0","0","SALSIT in shrub stage; counted as clumps. Evidence of charred stumps, but SALSIT regens >8 yrs","10","85","50","20","0","0","0","180","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467084,4617190,"TRUE","2012","","",2012,5,1,0,0,1
"90","ELK2012587","2824","ELK","8/8/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",465696,4616939,"235","56",NA,NA,"5","1","0.5","94","0.5","45","7","1","7","0","0.5","7",NA,"5",NA,"NA","NA","0","2.33","0","0","0","Slope largely lacking in conifer regen","7","90","7","20","0","0","0","160","0.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",465696,4616939,"TRUE","2009, 2009","2008","",2012,5,1,0,1,1
"91","ELK2012591","2844","ELK","7/24/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",466494,4616967,"183","50",NA,NA,"45","10","0.5","43","2","95","40","60","0","0","0","0",NA,"5",NA,"NA","NA","0","0.33","0","0","0","All ARME w/in several hundred meters are only 5 m ht. Patches of PSME and other conifer surrounding area w/in a 100 + m radius","60","60","0","20","0","0","0","85","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",466494,4616967,"TRUE","2012","2010","",2012,5,1,0,1,1
"92","ELK2012592","2856","ELK","7/24/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",466692,4616972,"96","54",NA,NA,"40","20","0.5","33","7","25","10","60","0","0","0","0",NA,"5",NA,"NA","NA","0.5","0.5","0","0","0",NA,"60","80","0","20","0","0","0","60","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",466692,4616972,"TRUE","2012","2008, 2010","",2012,5,1,0,1,1
"93","ELK2012593","2855","ELK","7/24/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",466893,4616982,"201","49",NA,NA,"47","7","0.5","45","1","20","5","80","0","0","0","0",NA,"5",NA,"NA","NA","0.5","0.5","0","0","0",NA,"80","80","0","20","0","0","0","50","6.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",466893,4616982,"TRUE","2012","2008, 2010","",2012,5,1,0,1,1
"94","ELK2012594","2841","ELK","8/1/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",467093,4617000,"211","6",NA,NA,"0.5","3","0.5","82","15","20","10","80","0","0","0","15",NA,"3",NA,"NA","NA","0","1.5","2","1","1","Burn severity 3 in ravine, 5 in surrounding area","85","95","15","20","40","20","20","201","15.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467093,4617000,"TRUE","2012","2008, 2010","",2012,5,1,0,1,1
"95","ELK2012595","2821","ELK","8/1/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",467292,4616996,"191","37",NA,NA,"4","1","0.5","94","1","80","7","70","0","0","0","2",NA,"4",NA,"NA","NA","0.66","0.66","2","2","0","Evidence of browsing on all shrubs. Plot at edge of high burn severity, with 0-1 burn severity to west","70","90","2","20","40","40","0","150","8.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467292,4616996,"TRUE","2012","2010","",2012,5,1,0,1,1
"96","ELK2012615","2804","ELK","8/8/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",465706,4616747,"291","80",NA,NA,"8","0.5","0.5","89","3","90","10","0.5","0","0","0","0",NA,"5",NA,"NA","NA","0","1","0","0","0","Hillside all shrubs and very steep","10","90","0","20","0","0","0","180","6.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",465706,4616747,"TRUE","2009, 2009","2008","",2012,5,1,0,1,1
"97","ELK2012617","2860","ELK","7/24/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",466110,4616758,"212","50",NA,NA,"5","5","0.5","85","5","100","2","18","20","0","10","20",NA,"5",NA,"NA","NA","0","0.33","5","0","5",NA,"20","100","20","20","100","0","100","150","2.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",466110,4616758,"TRUE","","2008","",2012,5,0,0,1,1
"98","ELK2012620","2863","ELK","7/24/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",466704,4616716,"229","70",NA,NA,"33","20","0.5","35","12","20","0.5","65","0","0","0","0",NA,"5",NA,"NA","NA","0.5","0.33","0","0","0","Site mostly barren (serpentine and very rocky)","65","70","0","20","0","0","0","100","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",466704,4616716,"TRUE","2012","2010","",2012,5,1,0,1,1
"99","ELK2012621","2864","ELK","7/24/2012 0:00:00","Glenn Shelton, Jenell Jackson",2007,NA,"NAD83 UTM zone 10",466900,4616781,"289","2",NA,NA,"0.5","0.5","0.5","75","25","20","50","85","0","0","0","3",NA,"5",NA,"NA","NA","0.5","1","2","0","2","SASIA counted as shrub stage. RUDI2 present but outside plot","85","95","0","20","40","0","40","160","13.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",466900,4616781,"TRUE","2012","2010","",2012,5,1,0,1,1
"100","ELK2012623","2836","ELK","8/1/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",467297,4616793,"68","25",NA,NA,"0.5","0.5","0.5","80","20","90","10","5","0","0","20","0",NA,"5",NA,"NA","NA","0.4","0.5","6","1","5",NA,"10","100","0","20","120","20","100","60","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467297,4616793,"TRUE","2012","2010","",2012,5,1,0,1,1
"101","ELK2012624","2820","ELK","8/1/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",467496,4616803,"174","53",NA,NA,"15","4","0.5","76","5","10","7","2","10","0","0","10",NA,"5",NA,"NA","NA","0","0.25","0","0","0",NA,"7","50","10","20","0","0","0","80","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467496,4616803,"TRUE","2012","2010","",2012,5,1,0,1,1
"102","ELK2012653","2835","ELK","8/1/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",467314,4616594,"89","57",NA,NA,"5","2","0.5","91","2","95","8","45","0","0","3","30",NA,"2",NA,"NA","NA","0","1.33","0","0","0","Old logging clearing below plot","50","95","30","20","0","0","0","140","6.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467314,4616594,"TRUE","2012","2010","",2012,5,1,0,1,1
"103","ELK2012745","2832","ELK","7/31/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",467323,4615995,"133","44",NA,NA,"4","7","0.5","88","1","75","15","75","0","0","0","0",NA,"5",NA,"NA","NA","0.5","0.25","0","0","0","Barren ridge, dominant tree species difficult to ascertain","75","85","0","20","0","0","0","50","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467323,4615995,"TRUE","","2009","",2012,5,0,0,1,1
"104","ELK2012751","2846","ELK","7/23/2012 0:00:00","Glenn Shelton, Jenell Jackson, Ramona Butz, ClintI",2007,NA,"NAD83 UTM zone 10",468522,4616030,"232","33",NA,NA,"70","5","0.5","25","0.5","85","60","1","6","0","4","7",NA,"5",NA,"NA","NA","0.5","4","0","0","0",NA,"60","95","7","20","0","0","0","90","24.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",468522,4616030,"TRUE","2012","2011","",2012,5,1,0,1,1
"105","ELK2012771","2838","ELK","7/31/2012 0:00:00","Glenn Shelton, Jenell Jackson, Kelly Matsunaga",2007,NA,"NAD83 UTM zone 10",467131,4615775,"141","19",NA,NA,"2","2","1","95","0.5","5","15","90","20","80","0","100",NA,"1",NA,"NA","NA","4.3","2.3","10","10","0",NA,"90","90","100","20","200","200","0","35","0.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",467131,4615775,"TRUE","","2010","",2012,5,0,0,1,1
