"Regen_Plot","Fire","Year.of.Fire","survey_years_post","SHRUB","dominant_shrub_ht_cm","X","Y","normal_annual_precip","tmax","tmin","tmean","elev","tpi100","tpi500","tpi2000","tpi5000","twi","slope_dem","aspect_dem","rad_winter","rad_winter_spring","rad_spring","rad_spring_summer","rad_summer"
"PWR0900061","POWER",2004,5,0,NA,-24714.6652096578,54739.4858481926,1235.57251064927,18.4485048494948,4.94114168789896,11.6948237281216,1557.28599964212,0.180154701556467,11.2323710172943,46.1523053537118,33.5554645964699,6.13592599823964,19.1963549412424,133.339820438353,4425.16176343739,5571.54982568869,7659.81774103497,9184.13363138487,9565.82075065521
"PWR0900063","POWER",2004,5,83,150,-20515.5865134253,54737.3229812668,1288.96831860102,17.3340049629874,4.88068755301881,11.1073461058046,1707.11570958167,0.200997932334179,-4.17980836850902,-14.3551804820563,87.8740887200343,7.53828841757309,14.3397895703411,209.788384680056,4472.77835492869,5622.05505824994,7812.72940646911,9324.53071726809,9700.40399567942
"PWR0900066","POWER",2004,5,32,40,-18914.5287071948,54740.7657393492,1308.52035935595,17.4736638560641,5.09625981023096,11.2849615112978,1666.66760820332,-0.818299348491148,2.20243476250285,45.4765510177438,3.50858178122942,6.30760998494671,32.3541306357402,166.235477204898,6073.62088005243,7237.91701296513,8629.5238205078,8982.73289907144,8782.78649008159
"PWR0900070","POWER",2004,5,26,20,-26114.3920654399,54540.0677129771,1253.27170908725,18.2601102303746,5.0564216102553,11.6582656304515,1592.20296918678,0.128907838827914,0.484011386982167,10.3650183022168,71.6428665149816,7.99012537859341,5.90909934306947,233.430891941276,3470.9939876265,4640.94380104745,7109.51569888385,9154.21142011741,9810.2022011528
"PWR0900071","POWER",2004,5,40,140,-25913.9559165422,54538.6797271795,1246.94744457597,18.1015824281771,5.01300408552477,11.557293416866,1615.62992710863,-0.0198356987034794,5.37227781072218,39.9336229869955,98.1449291241515,5.98595727226279,13.0489557271544,200.214944896418,4417.33923866898,5569.3896229816,7774.25067135244,9312.90041880678,9709.21661865602
"PWR0900072","POWER",2004,5,0,NA,-25504.4087442063,54530.5320425038,1233.67980956672,18.2420366535345,4.98177052038533,11.6119034786733,1595.26992245927,-0.306760572378554,2.99278143144332,46.2288338485566,85.1603257582092,6.58249332251615,15.0742094447926,131.30150713483,4131.39147803606,5295.0519215488,7560.34740250101,9196.69012179922,9680.84818912977
"PWR0900073","POWER",2004,5,54,30,-25114.9314291058,54540.4865862657,1228.67021868795,18.4767123247026,4.99093213391779,11.7338222948807,1556.78295730356,0.945248489933301,12.1334558189341,35.5604344587481,49.5638986249122,7.54249482550366,24.5684358089107,134.570086982245,4801.70352092394,5919.95860221799,7839.02918409839,9117.08993808226,9368.14334581588
"PWR0900074","POWER",2004,5,20,30,-24915.2001026277,54538.9604565464,1226.75650279924,18.6490776561597,5.01303699534961,11.8310574106988,1530.15294966441,0.789038897411213,10.6195146044052,30.1730599112367,26.1055557156956,6.62765643774945,23.9833448407275,174.560767357826,5550.45602953007,6662.7318383141,8402.7603626307,9236.52982358113,9272.55340481514
"PWR0900077","POWER",2004,5,79,50,-21112.7453918257,54538.9515876295,1268.19759550856,17.0077799614772,4.74442185602674,10.8761007699495,1766.05260735604,0.0494128700800354,15.8481800896187,89.1951414864396,190.816482910592,6.76845336175741,5.68760134898949,257.51990307263,3221.52051653883,4399.01728987677,6931.99180848111,9117.91594086657,9864.0222337338
"PWR0900078","POWER",2004,5,50,30,-20914.1009799965,54540.3921503075,1271.34279342433,17.0703405700223,4.78653763019583,10.9284392084355,1753.80243008613,1.51630117364131,23.2078345572716,74.6212568176774,172.145790504039,5.55945121981829,16.4841743970604,103.451189123003,3481.57698441116,4641.73365556061,7065.65578378088,9001.42434595813,9659.69113459039
