plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,canopy_cover,litter_cover,grass_cover,forb_cover,shrub_cover,count_CADE,count_PIPJ,count_ABCO,count_PSME,count_ABMA,count_PILA,plot_size_CADE,plot_size_PIPJ,plot_size_ABCO,plot_size_PSME,plot_size_ABMA,plot_size_PILA,distance_seed_source_CADE,distance_seed_source_PIPJ,distance_seed_source_PSME,distance_seed_source_ABCO,distance_seed_source_PILA,distance_seed_source_ABMA
C1020C,DJNY,-120.54501000000002,39.204240000000034,2008,2018,10,NA,high,0,70,0.5,0.5,60,0,0,1,0,0,1,401,401,401,401,401,401,NA,NA,NA,NA,NA,NA
C1023C,DJNY,-120.54308000000002,39.20266000000002,2008,2018,10,180,high,0,95,0,0.5,95,0,0,3,0,0,0,401,401,401,401,401,401,NA,180,NA,NA,NA,182
C1026C,DJNY,-120.54145000000001,39.20158000000003,2008,2018,10,157.4,high,0,70,0.5,0.5,60,0,0,9,0,0,3,401,401,401,401,401,401,NA,218.9,NA,157.4,NA,NA
C1029C,DJNY,-120.53109000000005,39.19199000000003,2008,2018,10,61.9,high,0,90,0.5,0.5,80,0,1,2,0,0,0,401,401,401,401,401,401,NA,80,NA,81.3,84.3,61.9
C1030C,DJNY,-120.53145000000005,39.19134999999998,2008,2018,10,13.7,high,0.5,95,0,0.5,80,0,8,1,0,0,0,401,401,401,401,401,401,43.8,13.7,62.4,NA,NA,NA
C1031C,DJNY,-120.53001000000002,39.18998999999999,2008,2018,10,64.8,high,0,100,0,5,95,0,2,2,0,0,0,401,401,401,401,401,401,184,78,NA,143.1,64.8,NA
C1032C,DJNY,-120.52991000000003,39.18950999999997,2008,2018,10,76,high,0,90,0.5,0.5,90,0,0,0,0,0,0,401,401,401,401,401,401,133,76,NA,86,138,NA
D1000C,DJNY,-118.36691000000003,35.507229999999964,2008,2018,10,14.6,high,0,100,10,0.5,50,0,0,0,0,0,0,401,401,401,401,401,401,NA,14.6,NA,NA,NA,NA
D1001C,DJNY,-118.36398000000003,35.5099,2008,2018,10,128,high,0,95,10,40,20,0,0,0,0,0,0,401,401,401,401,401,401,NA,128,NA,NA,147,NA
D1005C,DJNY,-118.37582000000003,35.47419,2008,2018,10,37.5,high,0,95,0.5,5,10,0,2,0,0,0,0,401,401,401,401,401,401,NA,37.5,NA,98,360,NA
D1010C,DJNY,-118.36726000000002,35.48272000000006,2008,2018,10,70.1,high,0,100,0.5,5,80,0,5,0,0,0,0,401,401,401,401,401,401,NA,84.5,NA,70.1,NA,74.8
D1013C,DJNY,-118.36761000000003,35.45953999999998,2008,2018,10,26.1,high,0,95,0.5,0.5,90,0,0,0,0,0,0,401,401,401,401,401,401,NA,26.1,NA,30,NA,NA
D1018C,DJNY,-118.36481000000003,35.45693999999999,2008,2018,10,33.2,high,0,95,10,0.5,70,0,1,0,0,0,0,401,401,401,401,401,401,NA,33.2,NA,53.1,NA,NA
A1041C,DJNY,-120.75043000000002,40.24451,2007,2018,11,11.3,high,0.5,90,70,20,0.5,1,0,0,0,0,0,401,401,401,401,401,401,16.8,30.7,11.3,NA,NA,NA
A1096C,DJNY,-120.72292000000002,40.22404000000009,2007,2018,11,52,high,0,80,0.5,0.5,90,0,0,0,0,0,0,401,401,401,401,401,401,107,52,65,66,66,NA
A1147C,DJNY,-120.62488000000003,40.10215000000001,2007,2018,11,36.1,high,0.5,80,5,0.5,90,1,1,0,2,0,0,401,401,401,401,401,401,NA,40.3,36.1,43,NA,NA
A1157C,DJNY,-120.61319000000002,40.10695999999996,2007,2018,11,NA,high,0.5,90,5,0.5,100,1,3,0,0,0,0,401,401,401,401,401,401,NA,NA,NA,NA,NA,NA
A4168C,DJNY,-120.72451000000002,40.195840000000025,2007,2018,11,204,high,0,75,0.5,5,100,0,0,0,0,0,0,401,401,401,401,401,401,NA,NA,279,204,336,NA
A4172C,DJNY,-120.68471000000002,40.197620000000036,2007,2018,11,50,high,0,90,30,0.5,40,0,2,0,0,0,0,401,401,401,401,401,401,110.1,50,NA,50,118,55
A4176C,DJNY,-120.67249000000002,40.17932999999999,2007,2018,11,66,high,0,100,30,0.5,40,0,1,0,0,0,0,401,401,401,401,401,401,NA,66,NA,NA,109,NA
B1009C,DJNY,-120.29284000000003,38.48571999999997,2004,2018,14,4.88,high,0,90,5,0,95,0,0,0,0,0,0,401,401,401,401,401,401,78,54.9,NA,NA,NA,NA
B1014C,DJNY,-120.29218000000002,38.48636000000005,2004,2018,14,42.5,high,0,80,5,0.5,95,0,0,0,0,0,0,401,401,401,401,401,401,42.5,111,NA,NA,NA,NA
B1015C,DJNY,-120.29016000000001,38.49689000000004,2004,2018,14,286,high,0,65,0.5,0,70,1,0,0,0,0,0,401,401,401,401,401,401,293,NA,299,286,NA,NA
C2001C,DJNY,-120.64161000000003,39.233250000000034,2008,2018,10,2.9,high,10,90,0.5,0,60,0,16,12,46,0,2,401,90.41713641488163,401,90.41713641488163,401,401,68.1,7.4,2.9,43,17,NA
C2006C,DJNY,-120.57523000000002,39.22883999999999,2008,2018,10,1,high,5,100,0.5,0,70,0,8,5,0,0,13,401,401,401,401,401,401,NA,37.2,81,27,1,NA
D1006C,DJNY,-118.37586000000003,35.47376,2008,2018,10,27.3,high,0,100,0,0.5,10,0,4,0,0,0,0,401,401,401,401,401,401,NA,27.3,NA,NA,NA,66
D1017C,DJNY,-118.36663000000003,35.471049999999984,2008,2018,10,28.2,high,0,95,0.5,0.5,80,0,0,0,0,0,0,401,401,401,401,401,401,NA,28.2,NA,57.3,NA,NA
D1025C,DJNY,-118.36345000000001,35.50111,2008,2018,10,29,high,0,90,20,0.5,80,0,0,0,0,0,0,401,401,401,401,401,401,NA,29,NA,39,NA,58
