"PlotID","Species","Distance","Bearing","OMU","Planted","SnagDamage","DBH","TotHeight","LYHeight","LYGrowth","BudScars","Sprouts","CompType","CompCover","CompHeight","Subsample","Comments","DistanceMetric","distance_estimate","DronePlotTree","ExpansionFactor","PlotID_6digit","SlopeDeg","Aspect","SlopeAdjustedDistance","DistanceExpansion","SlopeDistance","HorizontalDistance","DensitySlope","DensityHorizontal"
"C1026T","PIPO",6.1,346,"O","Y","SD2",4.5,230,201,26,8,NA,"NONE",NA,NA,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,6.08201179766295,1.00295760727461,6.11804140437514,6.1,24.9409771775094,25.1923042273905
"C1026T","PIPO",8.66,204,"O","U","SD2",2.3,149,110,23,6,NA,"C",10,50,"N",NA,"slope",NA,FALSE,1,"C1026T",8.1,289,8.65934698092386,1.00007541204638,8.66,8.65934698092386,24.9409771775094,25.1923042273905
"C1026T","ABMA",10.7,26,"M","Y","N",1.5,159,137,16,11,NA,"S",40,122,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,10.6984223730269,1.00014746351547,10.7015778596156,10.7,24.9409771775094,25.1923042273905
"C1026T","PIPO",7.3,307,"O","Y","N",6,293,255,33,11,NA,"S",0.5,NA,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,7.23415875228164,1.0091014380487,7.36644049775552,7.3,24.9409771775094,25.1923042273905
"C1026T","PSME",8.99,194,"M","U","N",NA,32,30,5,6,NA,"SC",20,110,"N",NA,"slope",NA,FALSE,1,"C1026T",8.1,289,8.98932209682512,1.00007541204638,8.99,8.98932209682512,24.9409771775094,25.1923042273905
"C1026T","PIPJ",10.9,35,"O","U","SD2",1,145,130,16,7,NA,"S",10,90,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,10.8917763220565,1.0007550355149,10.9082298871124,10.9,24.9409771775094,25.1923042273905
"C1026T","PIJE",10.11,193,"O","Y","SD2",3.5,209,191,20,9,NA,"NONE",NA,NA,"N",NA,"slope",NA,FALSE,1,"C1026T",8.1,289,10.1089034121607,1.00010847742772,10.11,10.1089034121607,24.9409771775094,25.1923042273905
"C1026T","PIPO",10.2,288,"O","Y","N",8,390,340,45,9,NA,"S",0.5,NA,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,10.0982724591464,1.0100737568,10.30275231936,10.2,24.9409771775094,25.1923042273905
"C1026T","PIPJ",8.3,35,"O","U","N",1,150,140,14,7,NA,"S",40,75,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,8.29373793330912,1.0007550355149,8.30626679477363,8.3,24.9409771775094,25.1923042273905
"C1026T","PIPO",8.97,245,"O","Y","N",5.6,241,199,25,8,NA,"S",0.5,NA,"N",NA,"slope",NA,FALSE,1,"C1026T",8.1,289,8.92380660228423,1.00517642299688,8.97,8.92380660228423,24.9409771775094,25.1923042273905
"C1026T","PIPJ",3.7,80,"O","U","SD2",NA,57,49,16,3,NA,"S",10,38,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,3.67179681281477,1.00768103155567,3.72841981675597,3.7,24.9409771775094,25.1923042273905
"C1026T","PIPO",4.4,158,"O","Y","N",4.5,239,217,29,8,NA,"S",0.5,NA,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,4.38116052262341,1.00430011118728,4.41892048922402,4.4,24.9409771775094,25.1923042273905
"C1026T","PIPO",10.83,253,"O","Y","N",2.1,188,172,20,7,NA,"S",0.5,NA,"N",NA,"slope",NA,FALSE,1,"C1026T",8.1,289,10.7594070928299,1.00656104063738,10.83,10.7594070928299,24.9409771775094,25.1923042273905
"C1026T","PIPJ",5.3,80,"O","U","SD1",4,215,201,31,7,NA,"NONE",NA,NA,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,5.25960083997791,1.00768103155567,5.34070946724504,5.3,24.9409771775094,25.1923042273905
"C1026T","PIPO",6,174,"O","Y","N",5.5,247,209,32,8,NA,"NONE",NA,NA,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,5.98935286261806,1.00177767742629,6.01066606455772,6,24.9409771775094,25.1923042273905
