"","V1","V2"
"40","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(bcm_aet) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","502.122602003828"
"41","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","497.777776985699"
"42","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(aspect_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_spring_summer) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","497.847011358817"
"43","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(aspect_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_spring) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","498.114085365272"
"44","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(aspect_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_winter_spring) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","498.191241362142"
"45","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(aspect_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmax) + scale(rad_winter) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","498.561151312418"
"46","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(aspect_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_winter) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","498.206347651232"
"47","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(aspect_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmean) + scale(rad_winter) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","498.8866600586"
"48","ln.dens.planted ~ scale(tpi500) + scale(elev) + scale(slope_dem) + scale(aspect_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmean) + scale(rad_winter) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","503.174685430163"
"49","ln.dens.planted ~ scale(tpi100) + scale(elev) + scale(slope_dem) + scale(aspect_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmean) + scale(rad_winter) + scale(normal_annual_precip) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","503.51513916956"
