"","V1","V2"
"34","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb * Planting + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","500.187993858974"
"35","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb * Year Planted * Planting + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","498.237031612285"
"36","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris * Planting + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","497.251685561557"
"37","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth * Planting + Coarse Woody Debris + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","498.419514112755"
"38","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation * Planting + Litter + Duff Depth + Coarse Woody Debris + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","498.237286659304"
"39","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index * Planting + Elevation + Litter + Duff Depth + Coarse Woody Debris + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","498.283811347374"
"40","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 * Planting + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","497.716667474198"
"41","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source * Planting + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","498.042917794967"
"42","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation * Planting + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","498.322746041657"
"43","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation * Planting + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","498.258589652825"
"44","Seedling Density = Mean Annual Temp. * Planting + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Year Planted * Planting + (1 | Fire) + (1 | Fire:PairID)","498.284026452247"
"45","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Planting * Year Planted + (1 | Fire) + (1 | Fire:PairID)","496.435210425131"
"46","Seedling Density = Max. Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Planting + (1 | Fire) + (1 | Fire:PairID)","499.000464020323"
"47","Seedling Density = Min. Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Planting + (1 | Fire) + (1 | Fire:PairID)","499.107547026753"
"48","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + Planting + (1 | Fire) + (1 | Fire:PairID)","498.941996884076"
