Model,AIC,dAIC
Seedling Density = Topographic Position Index 5000 * Planting + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.44,39.45
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Duff Depth + Coarse Woody Debris + %Overstory,493.32,39.32
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter Depth + Coarse Woody Debris + %Overstory,497.59,43.59
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter Depth + Duff Depth + Coarse Woody Debris + %Overstory,492.50,38.51
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,491.74,37.74
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + scale(bcm_aet) + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,502.12,48.13
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,497.78,43.78
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Spring/Summer Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,497.85,43.85
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Spring Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.11,44.12
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Winter/Spring Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.19,44.20
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Max. Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.56,44.57
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Min. Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.21,44.21
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Mean Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,498.89,44.89
Seedling Density = Topographic Position Index 500 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Mean Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,503.17,49.18
Seedling Density = Topographic Position Index 100 + Elevation + Slope + Aspect + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Planting + Released + Mean Annual Temp. + Winter Solar Insolation + Normal Annual Precipitation + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,503.52,49.52
