"fire.dist2","salv.cat2","site.prepped2","released2","thinned2","nplots","mgmt.factorial"
"2008GOVERNMENT - Tahoe NF","salv: neither","prp: no","rel: YES","thn: no",135,"2008GOVERNMENT - Tahoe NF, salv: neither, prp: no, rel: YES, thn: no"
"2008GOVERNMENT - Tahoe NF","salv: neither","prp: no","rel: no","thn: no",36,"2008GOVERNMENT - Tahoe NF, salv: neither, prp: no, rel: no, thn: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: no","rel: no","thn: no",78,"2008PIUTE - Sequoia NF, salv: neither, prp: no, rel: no, thn: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: no","rel: YES","thn: no",44,"2008PIUTE - Sequoia NF, salv: neither, prp: no, rel: YES, thn: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: YES","rel: no","thn: no",21,"2008PIUTE - Sequoia NF, salv: neither, prp: YES, rel: no, thn: no"
"2009SUGARLOAF - Lassen NF","salv: neither","prp: no","rel: no","thn: no",147,"2009SUGARLOAF - Lassen NF, salv: neither, prp: no, rel: no, thn: no"
"2012CHIPS - Plumas NF","salv: planted","prp: YES","rel: no","thn: no",133,"2012CHIPS - Plumas NF, salv: planted, prp: YES, rel: no, thn: no"
"2012CHIPS - Plumas NF","salv: planted","prp: YES","rel: YES","thn: no",127,"2012CHIPS - Plumas NF, salv: planted, prp: YES, rel: YES, thn: no"
"2012CHIPS - Plumas NF","salv: both","prp: YES","rel: YES","thn: no",60,"2012CHIPS - Plumas NF, salv: both, prp: YES, rel: YES, thn: no"
"2012CHIPS - Plumas NF","salv: both","prp: YES","rel: no","thn: no",36,"2012CHIPS - Plumas NF, salv: both, prp: YES, rel: no, thn: no"
"2012CHIPS - Plumas NF","salv: neither","prp: no","rel: no","thn: no",24,"2012CHIPS - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"2012CHIPS - Plumas NF","salv: neither","prp: YES","rel: YES","thn: no",20,"2012CHIPS - Plumas NF, salv: neither, prp: YES, rel: YES, thn: no"
"2012READING - Lassen NF","salv: both","prp: YES","rel: no","thn: no",49,"2012READING - Lassen NF, salv: both, prp: YES, rel: no, thn: no"
"2012READING - Lassen NF","salv: planted","prp: YES","rel: no","thn: no",34,"2012READING - Lassen NF, salv: planted, prp: YES, rel: no, thn: no"
"2012READING - Lassen NF","salv: neither","prp: no","rel: no","thn: no",27,"2012READING - Lassen NF, salv: neither, prp: no, rel: no, thn: no"
