"","type","tier","id","lat","long","year","cat","seed","geom"
"104","I",1,"D1031I","39.611114","-120.192468","2",2,"F",c(-120.192468343613, 39.611114418129)
"105","I",1,"D1032I","39.612464","-120.192472","2",2,"F",c(-120.192471892421, 39.6124643983245)
"106","I",1,"D1033I","39.613814","-120.192475","2",2,"F",c(-120.192475441359, 39.6138143795343)
"107","I",1,"D1034I","39.615164","-120.192479","2",2,"F",c(-120.192478990428, 39.6151643617591)
"108","I",1,"D1035I","39.619214","-120.192490","2",2,"F",c(-120.192489638421, 39.6192143145323)
"109","I",1,"D1036I","39.609767","-120.190717","2",2,"F",c(-120.190716744556, 39.6097671670116)
"110","I",1,"D1037I","39.611117","-120.190720","2",2,"F",c(-120.190720261002, 39.6111171462461)
"111","I",1,"D1038I","39.612467","-120.190724","2",2,"F",c(-120.190723777578, 39.612467126494)
"112","I",1,"D1039I","39.613817","-120.190727","2",2,"F",c(-120.190727294283, 39.6138171077562)
"113","I",1,"D1040I","39.615167","-120.190731","2",2,"F",c(-120.190730811118, 39.6151670900334)
"114","I",1,"D1041I","39.609770","-120.188969","2",2,"F",c(-120.188968694045, 39.6097698701859)
"115","I",1,"D1042I","39.611120","-120.188972","2",2,"F",c(-120.188972178261, 39.6111198494723)
"116","I",1,"D1043I","39.612470","-120.188976","2",2,"F",c(-120.188975662605, 39.6124698297721)
"117","I",1,"D1044I","39.613820","-120.188979","2",2,"F",c(-120.188979147077, 39.6138198110861)
"118","I",1,"D1045I","39.609773","-120.187221","2",2,"F",c(-120.187220643406, 39.6097725484698)
"119","I",1,"D1046I","39.612473","-120.187228","2",2,"F",c(-120.187227547504, 39.6124725081587)
"120","I",1,"D1047I","39.613822","-120.187231","2",2,"F",c(-120.187230999743, 39.6138224895241)
"121","I",1,"D1048I","39.612475","-120.185479","2",2,"F",c(-120.185479432275, 39.6124751616538)
"122","I",1,"D1049I","39.611128","-120.183728","2",2,"F",c(-120.183727929271, 39.611127809805)
"123","I",1,"D1050I","39.612478","-120.183731","2",2,"F",c(-120.18373131692, 39.6124777902576)
"124","I",1,"D1051I","39.611130","-120.181980","2",2,"F",c(-120.181979846023, 39.6111304134673)
"125","I",1,"D1054I","39.628737","-120.138311","3",1,"F",c(-120.138310880134, 39.6287372555549)
"126","I",1,"D1056I","39.628739","-120.136562","3",1,"F",c(-120.136562374949, 39.6287392125391)
"127","I",1,"D1057I","39.630089","-120.136565","3",1,"F",c(-120.136564893547, 39.6300892074235)
"128","I",1,"D1058I","39.612539","-120.136532","2",3,"F",c(-120.136532159014, 39.6125393535794)
"129","I",1,"D1072I","39.611199","-120.127789","2",3,"F",c(-120.127789209861, 39.6111987810598)
"130","I",1,"D1073I","39.612549","-120.127792","2",3,"F",c(-120.127791566092, 39.6125487628743)
"131","I",1,"D1074I","39.613899","-120.127794","2",3,"F",c(-120.127793922411, 39.613898745703)
"132","I",1,"D1075I","39.615249","-120.127796","2",3,"F",c(-120.127796278816, 39.615248729547)
"133","I",1,"D1076I","39.619299","-120.127803","2",3,"F",c(-120.127803348554, 39.6192986871781)
"134","I",1,"D1077I","39.612551","-120.126043","2",3,"F",c(-120.126043447243, 39.6125505700586)
"135","I",1,"D1078I","39.613901","-120.126046","2",3,"F",c(-120.126045771328, 39.6139005529221)
"136","I",1,"D1079I","39.615251","-120.126048","2",3,"F",c(-120.126048095499, 39.6152505368008)
"137","I",1,"D1080I","39.616601","-120.126050","2",3,"F",c(-120.126050419756, 39.6166005216954)
"138","I",1,"D1081I","39.617951","-120.126053","2",3,"F",c(-120.126052744099, 39.6179505076068)
"139","I",1,"D1082I","39.619300","-120.126055","2",3,"F",c(-120.126055068527, 39.619300494536)
"140","I",1,"D1083I","39.612552","-120.124295","2",3,"F",c(-120.124295328307, 39.6125523523515)
"141","I",1,"D1084I","39.613902","-120.124298","2",3,"F",c(-120.12429762016, 39.6139023352492)
"142","I",1,"D1085I","39.615252","-120.124300","2",3,"F",c(-120.124299912096, 39.615252319162)
"143","I",1,"D1086I","39.616602","-120.124302","2",3,"F",c(-120.124302204118, 39.6166023040909)
"144","I",1,"D1087I","39.617952","-120.124304","2",3,"F",c(-120.124304496224, 39.6179522900366)
"145","I",1,"D1088I","39.619302","-120.124307","2",3,"F",c(-120.124306788414, 39.6193022769999)
"146","I",1,"D1091I","39.613904","-120.122549","2",3,"F",c(-120.122549468906, 39.6139040926843)
"147","I",1,"D1092I","39.615254","-120.122552","2",3,"F",c(-120.122551728609, 39.6152540766308)
"148","I",1,"D1093I","39.616604","-120.122554","2",3,"F",c(-120.122553988395, 39.6166040615934)
"149","I",1,"D1094I","39.617954","-120.122556","2",3,"F",c(-120.122556248264, 39.6179540475728)
"150","I",1,"D1098I","39.613906","-120.120801","2",3,"F",c(-120.12080131757, 39.6139058252273)
"151","I",1,"D1099I","39.615256","-120.120804","2",3,"F",c(-120.120803545038, 39.6152558092071)
