"","type","tier","id","lat","long","year","cat","seed","geom"
"34","I",2,"C1014I","39.192131","-120.545734","1",2,"F",c(-120.545734489547, 39.1921311745525)
"35","I",2,"C1015I","39.198880","-120.545785","2",2,"F",c(-120.54578452111, 39.1988798915341)
"36","I",2,"C1016I","39.200230","-120.545795","2",2,"F",c(-120.545794528524, 39.2002296372214)
"37","I",2,"C1017I","39.201579","-120.545805","2",2,"F",c(-120.545804536304, 39.2015793836743)
"38","I",2,"C1018I","39.192139","-120.543996","1",2,"F",c(-120.543996306474, 39.1921389316138)
"39","I",2,"C1019I","39.200237","-120.544056","2",2,"F",c(-120.544056154233, 39.2002373951625)
"40","I",2,"C1021I","39.204294","-120.542348","1",2,"F",c(-120.54234761277, 39.2042943708919)
"41","I",2,"C1022I","39.192147","-120.542258","1",2,"F",c(-120.542258123035, 39.1921466639295)
"42","I",2,"C1024I","39.202952","-120.540599","1",2,"F",c(-120.540599229238, 39.2029523313483)
"43","I",2,"C1025I","39.204302","-120.540609","1",2,"F",c(-120.540609142124, 39.2043020797732)
"44","I",2,"C1027I","39.202960","-120.538861","1",2,"F",c(-120.538860790105, 39.2029600153345)
"45","I",2,"C1042I","39.189553","-120.517905","2",2,"F",c(-120.517904526779, 39.1895528320137)
"46","C",1,"C1000C","39.233450","-120.641729","2",1,"N",c(-120.641729185525, 39.233449717324)
"47","C",1,"C1001C","39.224174","-120.593277","2",1,"N",c(-120.593276714752, 39.2241737035409)
"48","C",1,"C1002C","39.224771","-120.586326","2",1,"N",c(-120.58632626838, 39.2247714988751)
"49","C",1,"C1004C","39.228841","-120.573329","2",1,"N",c(-120.573328650116, 39.2288411232456)
"50","C",1,"C1008C","39.194351","-120.550102","1",1,"N",c(-120.550102444279, 39.1943512236717)
"51","C",1,"C1013C","39.191121","-120.547017","1",1,"F",c(-120.547016709705, 39.1911210806313)
"52","C",1,"C1020C","39.204202","-120.544973","1",1,"F",c(-120.54497253629, 39.2042015088858)
"53","C",1,"C1023C","39.202250","-120.542706","1",1,"F",c(-120.542706497049, 39.2022498996918)
"54","C",1,"C1026C","39.201660","-120.540782","1",1,"N",c(-120.540781686038, 39.201660308057)
"55","C",1,"C1028C","39.196455","-120.535308","1",1,"N",c(-120.535307777168, 39.1964553368982)
"56","C",1,"C1029C","39.191999","-120.531061","1",1,"N",c(-120.531061045706, 39.1919989672911)
"57","C",1,"C1030C","39.191144","-120.531685","1",1,"F",c(-120.531685433213, 39.1911436436399)
"58","C",1,"C1031C","39.189995","-120.530002","1",1,"F",c(-120.530001985438, 39.1899947886727)
"59","C",1,"C1032C","39.189507","-120.529892","1",1,"N",c(-120.529892168342, 39.1895065891259)
"60","C",1,"C1033C","39.196763","-120.527361","1",1,"N",c(-120.527361052016, 39.1967631766228)
"61","C",1,"C1034C","39.197104","-120.526827","1",1,"N",c(-120.526826624226, 39.1971042611855)
"62","C",1,"C1035C","39.199465","-120.526275","1",1,"N",c(-120.526275238794, 39.1994651030781)
"63","C",1,"C1036C","39.201181","-120.525519","1",1,"F",c(-120.525518541945, 39.2011805089543)
"64","C",1,"C1037C","39.188753","-120.521675","2",1,"N",c(-120.521674858912, 39.1887530480743)
"65","C",1,"C1038C","39.188936","-120.521420","2",1,"N",c(-120.521419649065, 39.1889356872183)
"66","C",1,"C1039C","39.189487","-120.520658","2",1,"N",c(-120.52065790827, 39.1894868167556)
"67","C",1,"C1040C","39.180053","-120.520075","2",1,"N",c(-120.520074737749, 39.1800529822151)
"68","C",1,"C1041C","39.180575","-120.519918","2",1,"N",c(-120.519917915847, 39.1805745437242)
"69","C",1,"C1043C","39.191826","-120.516857","2",1,"N",c(-120.516856956711, 39.1918260194946)
"70","C",1,"C1044C","39.192308","-120.516021","2",1,"N",c(-120.516020798698, 39.1923077248874)
