"","type","tier","id","lat","long","t2_opt","t3_opt","elev1","rad1","elev2","rad2","year","cat","seed"
"43","T",1,"A1161T","40.115543","-120.611455","","","1","1","2","2","1",1,"N"
"44","T",1,"A1162T","40.100616","-120.607747","A1169T","","3","2","1","1","1",1,"N"
"45","T",1,"A1163T","40.096723","-120.606829","A1166T","","3","2","2","2","1",1,"N"
"46","T",1,"A1164T","40.098024","-120.606712","","","3","1","2","1","1",1,"N"
"47","T",1,"A1165T","40.118731","-120.606802","","","2","1","2","2","1",1,"N"
"48","T",1,"A1167T","40.118823","-120.605644","A1168T","","3","1","1","2","1",1,"N"
"49","T",2,"A1003T","40.243541","-120.845634",NA,NA,"3","2","2","2","3",1,"N"
"50","T",2,"A1004T","40.240538","-120.843843",NA,NA,"3","4","2","1","3",2,"N"
"51","T",2,"A1011T","40.257823","-120.817513",NA,NA,"3","1","2","2","3",1,"N"
"52","T",2,"A1014T","40.250086","-120.810875",NA,NA,"4","4","1","1","3",2,"N"
"53","T",2,"A1015T","40.254294","-120.803048",NA,NA,"2","2","2","1","3",1,"N"
"54","T",2,"A1018T","40.234034","-120.785839",NA,NA,"1","1","1","2","3",1,"F"
"55","T",2,"A1027T","40.232512","-120.775008",NA,NA,"1","1","2","1","3",1,"F"
"56","T",2,"A1028T","40.234433","-120.773586",NA,NA,"1","2","1","2","3",1,"F"
"57","T",2,"A1032T","40.239922","-120.768548",NA,NA,"2","2","1","2","3",2,"N"
"58","T",2,"A1064T","40.228077","-120.748030",NA,NA,"1","1","2","1","3",2,"F"
"59","T",2,"A1076T","40.190760","-120.736755",NA,NA,"4","2","1","2","3",2,"N"
"60","T",2,"A1092T","40.208165","-120.727871",NA,NA,"2","2","2","1","3",2,"F"
"61","T",2,"A1093T","40.204658","-120.726744",NA,NA,"2","2","1","1","3",2,"F"
"62","T",2,"A1094T","40.196443","-120.724843",NA,NA,"3","2","2","1","3",2,"N"
"63","T",2,"A1101T","40.210905","-120.700335",NA,NA,"2","2","1","2","3",1,"F"
"64","T",2,"A1107T","40.205014","-120.677279",NA,NA,"1","2","1","1","3",1,"F"
"65","T",2,"A1111T","40.194936","-120.664900",NA,NA,"2","1","1","1","3",1,"F"
"66","T",2,"A1113T","40.190699","-120.661074",NA,NA,"3","1","2","1","3",1,"N"
"67","T",2,"A1117T","40.228785","-120.658558",NA,NA,"1","2","1","2","3",1,"N"
"68","T",2,"A1119T","40.188575","-120.658031",NA,NA,"3","2","2","1","3",1,"N"
"69","T",2,"A1120T","40.230648","-120.657006",NA,NA,"1","2","2","2","3",1,"N"
"70","T",2,"A1122T","40.187034","-120.648850",NA,NA,"2","2","1","1","3",1,"F"
"71","T",2,"A1123T","40.187850","-120.648399",NA,NA,"2","1","1","2","3",1,"F"
"72","T",2,"A1128T","40.185551","-120.667011",NA,NA,"2","1","2","2","3",2,"F"
"73","T",2,"A1134T","40.164448","-120.652237",NA,NA,"2","2","2","2","3",1,"N"
"74","T",2,"A1138T","40.151645","-120.640424",NA,NA,"3","3","1","2","3",2,"N"
"75","T",2,"A1140T","40.155438","-120.627286",NA,NA,"1","2","2","2","3",2,"N"
"76","T",2,"A1142T","40.154449","-120.616574",NA,NA,"1","2","2","2","3",2,"F"
"77","T",2,"A1146T","40.130870","-120.624448",NA,NA,"1","3","2","1","3",2,"N"
"78","T",2,"A1154T","40.134283","-120.617462",NA,NA,"2","4","1","2","3",2,"N"
"79","T",2,"A1159T","40.118018","-120.612802",NA,NA,"1","1","1","1","1",1,"N"
"80","T",2,"A1160T","40.111325","-120.612644",NA,NA,"1","2","2","2","1",1,"N"
"81","T",2,"A1166T","40.101099","-120.605534",NA,NA,"3","2","2","2","1",1,"N"
"82","T",2,"A1168T","40.119014","-120.604768",NA,NA,"3","1","1","2","1",1,"N"
"83","T",2,"A1169T","40.119294","-120.603809",NA,NA,"3","2","1","1","1",1,"N"
"84","T",3,"A1007T","40.247637","-120.830309",NA,NA,"3","4","2","1","3",2,"N"
"85","T",3,"A1009T","40.248690","-120.827405",NA,NA,"2","2","1","2","3",1,"F"
"86","T",3,"A1012T","40.255981","-120.816099",NA,NA,"3","2","2","1","3",2,"N"
"87","T",3,"A1013T","40.256815","-120.813209",NA,NA,"3","1","2","1","3",1,"N"
"88","T",3,"A1024T","40.234634","-120.781212",NA,NA,"1","1","2","1","3",1,"F"
"89","T",3,"A1025T","40.235500","-120.777188",NA,NA,"1","1","1","2","3",1,"F"
"90","T",3,"A1030T","40.236841","-120.770691",NA,NA,"1","2","2","2","3",2,"F"
"91","T",3,"A1078T","40.195906","-120.733759",NA,NA,"2","1","2","2","3",2,"F"
"92","T",3,"A1091T","40.204830","-120.728609",NA,NA,"2","2","1","1","3",2,"F"
"93","T",3,"A1097T","40.200514","-120.712776",NA,NA,"3","2","2","2","3",1,"N"
"94","T",3,"A1098T","40.210749","-120.711468",NA,NA,"2","2","1","1","3",1,"F"
"95","T",3,"A1102T","40.201207","-120.688201",NA,NA,"4","2","1","2","3",2,"N"
"96","T",3,"A1104T","40.200042","-120.683948",NA,NA,"3","2","2","1","3",1,"N"
"97","T",3,"A1108T","40.203460","-120.676573",NA,NA,"1","2","1","1","3",1,"F"
"98","T",3,"A1114T","40.229123","-120.659396",NA,NA,"1","2","1","2","3",1,"F"
"99","T",3,"A1115T","40.189354","-120.658562",NA,NA,"3","1","2","2","3",1,"N"
"100","T",3,"A1116T","40.231261","-120.658635",NA,NA,"1","2","1","2","3",1,"N"
"101","T",3,"A1121T","40.228668","-120.655805",NA,NA,"1","2","2","2","3",1,"N"
"102","T",3,"A1125T","40.159460","-120.684294",NA,NA,"2","2","2","1","3",1,"N"
"103","T",3,"A1130T","40.178277","-120.663260",NA,NA,"2","2","2","1","3",2,"F"
"104","T",3,"A1131T","40.159407","-120.659430",NA,NA,"2","2","2","2","3",1,"N"
"105","T",3,"A1135T","40.155689","-120.651467",NA,NA,"3","3","1","2","3",2,"N"
"106","T",3,"A1139T","40.153229","-120.627470",NA,NA,"2","2","1","2","3",2,"N"
"107","T",3,"A1143T","40.126931","-120.628083",NA,NA,"1","2","2","2","3",2,"N"
"108","T",3,"A1144T","40.129655","-120.627703",NA,NA,"1","3","2","1","3",2,"N"
"109","T",3,"A1151T","40.137536","-120.619211",NA,NA,"1","1","2","1","3",2,"F"
"110","I",1,"A1000I","40.280619","-120.775270",NA,NA,"3","3","1","2","3",3,"F"
"111","I",1,"A1002I","40.281992","-120.771756",NA,NA,"2","2","2","2","3",3,"F"
"112","I",1,"A1019I","40.264346","-120.785679",NA,NA,"2","2","1","2","3",3,"F"
"113","I",1,"A1023I","40.271110","-120.783988",NA,NA,"2","3","2","2","3",3,"F"
"114","I",1,"A1026I","40.271154","-120.776933",NA,NA,"2","3","2","1","3",3,"F"
"115","I",1,"A1031I","40.242837","-120.769576",NA,NA,"2","1","1","2","3",3,"F"
"116","I",1,"A1034I","40.236117","-120.764215",NA,NA,"1","3","1","2","3",3,"F"
"117","I",1,"A1035I","40.238829","-120.762481",NA,NA,"1","1","1","2","3",3,"F"
"118","I",1,"A1039I","40.232131","-120.753595",NA,NA,"1","1","2","2","3",3,"F"
"119","I",1,"A1048I","40.223985","-120.760562",NA,NA,"1","2","2","2","3",3,"F"
"120","I",1,"A1049I","40.222634","-120.760548",NA,NA,"1","3","2","1","3",3,"F"
"121","I",1,"A1052I","40.230780","-120.753581",NA,NA,"1","2","2","1","3",3,"F"
"122","I",1,"A1054I","40.229430","-120.753567",NA,NA,"2","2","1","1","3",3,"F"
"123","I",1,"A1055I","40.209183","-120.751594",NA,NA,"1","1","1","1","3",3,"F"
"124","I",1,"A1057I","40.211884","-120.751622",NA,NA,"1","2","1","2","3",3,"F"
"125","I",1,"A1059I","40.210534","-120.751608",NA,NA,"1","3","1","1","3",3,"F"
"126","I",1,"A1066I","40.209215","-120.746307",NA,NA,"2","3","1","1","3",3,"F"
"127","I",1,"A1070I","40.209247","-120.741019",NA,NA,"2","1","1","1","3",3,"F"
"128","I",1,"A1071I","40.207907","-120.739243",NA,NA,"2","1","2","1","3",3,"F"
"129","I",1,"A1080I","40.194444","-120.732058",NA,NA,"3","2","2","2","3",3,"F"
"130","I",1,"A1082I","40.198506","-120.730336",NA,NA,"3","2","1","2","3",3,"F"
"131","I",1,"A1085I","40.202557","-120.730377",NA,NA,"3","3","1","1","3",3,"F"
"132","I",1,"A1087I","40.197166","-120.728560",NA,NA,"3","2","1","1","3",3,"F"
"133","I",2,"A1001I","40.280630","-120.773505",NA,NA,"2","3","2","2","3",3,"F"
"134","I",2,"A1020I","40.268397","-120.785723",NA,NA,"2","3","2","1","3",3,"F"
"135","I",2,"A1029I","40.241476","-120.771325",NA,NA,"2","1","1","2","3",3,"F"
"136","I",2,"A1036I","40.237479","-120.762466",NA,NA,"1","3","1","2","3",3,"F"
"137","I",2,"A1037I","40.237490","-120.760703",NA,NA,"1","3","1","1","3",3,"F"
"138","I",2,"A1040I","40.233481","-120.753609",NA,NA,"1","1","1","1","3",3,"F"
"139","I",2,"A1042I","40.232152","-120.750069",NA,NA,"1","1","1","2","3",3,"F"
"140","I",2,"A1050I","40.222645","-120.758785",NA,NA,"1","3","2","1","3",3,"F"
"141","I",2,"A1056I","40.230791","-120.751818",NA,NA,"1","2","2","1","3",3,"F"
"142","I",2,"A1058I","40.213235","-120.751636",NA,NA,"1","2","1","2","3",3,"F"
"143","I",2,"A1062I","40.230812","-120.748292",NA,NA,"1","2","2","2","3",3,"F"
"144","I",2,"A1065I","40.210566","-120.746321",NA,NA,"2","2","1","2","3",3,"F"
"145","I",2,"A1067I","40.213277","-120.744586",NA,NA,"1","1","2","2","3",3,"F"
"146","I",2,"A1069I","40.209226","-120.744544",NA,NA,"2","3","1","1","3",3,"F"
"147","I",2,"A1073I","40.209257","-120.739257",NA,NA,"2","2","1","1","3",3,"F"
"148","I",2,"A1074I","40.210618","-120.737508",NA,NA,"2","2","2","2","3",3,"F"
